job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
linked_list_remove,TRUE,657,503,50,194,n/a,14,n/a,n/a,0.01,0.01,n/a,n/a,0.03,0.01,n/a,n/a,0.01,0.01,0.04
linked_list_pop_back,TRUE,4428,2902,1025,4401,32,216,n/a,n/a,0.26,0.13,n/a,n/a,1.61,1.10,n/a,n/a,0.01,0.06,1.66
linked_list_pop_front,TRUE,4427,2929,1053,4472,32,216,n/a,n/a,0.31,0.18,n/a,n/a,2.08,1.43,n/a,n/a,0.01,0.08,2.14
linked_list_prev,TRUE,636,472,53,205,n/a,15,n/a,n/a,0.01,0.01,n/a,n/a,0.03,0.01,n/a,n/a,0.01,0.01,0.04
linked_list_next,TRUE,636,472,53,205,n/a,15,n/a,n/a,0.01,0.01,n/a,n/a,0.03,0.01,n/a,n/a,0.01,0.01,0.04
linked_list_node_reset,TRUE,430,406,17,102,n/a,2,n/a,n/a,0.01,0.01,n/a,n/a,0.04,0.03,n/a,n/a,0.01,0.01,0.06
linked_list_push_back,TRUE,4593,2812,986,4195,6,242,n/a,n/a,0.29,0.13,n/a,n/a,1.35,0.75,n/a,n/a,0.01,0.10,1.39
linked_list_push_front,TRUE,4602,2914,1045,4530,11,238,n/a,n/a,0.16,0.10,n/a,n/a,1.66,1.27,n/a,n/a,0.01,0.07,1.71
linked_list_swap_contents,TRUE,9074,6126,2473,13251,5,600,n/a,n/a,0.35,0.24,n/a,n/a,8.33,7.10,n/a,n/a,0.01,0.46,8.43
linked_list_insert_after,TRUE,677,500,56,216,n/a,16,n/a,n/a,0.01,0.01,n/a,n/a,0.03,0.01,n/a,n/a,0.01,0.01,0.04
linked_list_insert_before,TRUE,677,500,56,216,n/a,16,n/a,n/a,0.01,0.01,n/a,n/a,0.05,0.02,n/a,n/a,0.01,0.01,0.08
linked_list_rbegin,TRUE,3982,2415,819,3479,10,198,n/a,n/a,0.34,0.16,n/a,n/a,1.47,0.84,n/a,n/a,0.01,0.06,1.52
linked_list_rend,TRUE,3808,2269,762,3254,6,195,n/a,n/a,0.23,0.16,n/a,n/a,1.30,0.78,n/a,n/a,0.01,0.07,1.35
string_bytes,TRUE,744,684,48,266,2,7,n/a,n/a,0.01,0.01,n/a,n/a,0.10,0.08,n/a,n/a,0.01,0.01,0.10
string_compare,TRUE,1347,1338,354,2106,43,6,n/a,n/a,0.05,0.02,n/a,n/a,2.25,2.15,n/a,n/a,0.01,0.03,2.27
string_eq,TRUE,1319,1311,354,2063,47,6,n/a,n/a,0.04,0.02,n/a,n/a,1.23,1.13,n/a,n/a,0.01,0.03,1.24
string_eq_byte_buf,TRUE,1710,1555,466,2154,21,53,n/a,n/a,0.07,0.02,n/a,n/a,0.68,0.55,n/a,n/a,0.01,0.02,0.70
string_eq_byte_buf_ignore_case,TRUE,1505,1498,410,3481,19,48,n/a,n/a,0.04,0.02,n/a,n/a,1.15,1.05,n/a,n/a,0.01,0.03,1.17
string_eq_byte_cursor,TRUE,1531,1360,366,1802,22,40,n/a,n/a,0.07,0.03,n/a,n/a,0.99,0.85,n/a,n/a,0.01,0.03,1.01
string_eq_byte_cursor_ignore_case,TRUE,1297,1474,407,4494,19,47,n/a,n/a,0.05,0.02,n/a,n/a,1.35,1.19,n/a,n/a,0.01,0.05,1.37
string_eq_c_str,TRUE,1217,1696,578,2852,10,55,n/a,n/a,0.02,0.01,n/a,n/a,1.25,1.17,n/a,n/a,0.01,0.02,1.26
string_eq_c_str_ignore_case,TRUE,1145,1734,571,5274,9,55,n/a,n/a,0.02,0.01,n/a,n/a,2.51,2.41,n/a,n/a,0.01,0.04,2.53
string_eq_ignore_case,TRUE,1123,1470,410,4959,52,6,n/a,n/a,0.10,0.03,n/a,n/a,1.30,1.10,n/a,n/a,0.01,0.05,1.33
string_new_from_array,TRUE,1132,931,124,971,n/a,21,n/a,n/a,0.01,0.01,n/a,n/a,1.81,1.77,n/a,n/a,0.01,0.01,1.83
string_new_from_c_str,TRUE,2013,1832,384,1667,n/a,55,n/a,n/a,0.02,0.01,n/a,n/a,0.16,0.11,n/a,n/a,0.01,0.02,0.19
